Source: -0.3200, -0.3600, Error: 2.2361, Degree: 0
Source: -0.3200, -0.4000, Error: 2.2361, Degree: 0
Source: -0.4800, -0.4000, Error: 2.2361, Degree: 0
Source: -0.6400, -0.4000, Error: 2.2361, Degree: 0
Source: -0.6400, -0.4800, Error: 2.2361, Degree: 0
Source: -0.6400, -0.5200, Error: 2.2361, Degree: 0
Source: -0.7200, -0.5200, Error: 2.2361, Degree: 0
Source: -0.8000, -0.6000, Error: 2.2361, Degree: 0
Source: -0.9600, -0.6400, Error: 2.2361, Degree: 0
Source: -1.1200, -0.6400, Error: 2.2361, Degree: 0
Source: -1.1200, -0.6800, Error: 2.2361, Degree: 0
Source: -1.2800, -0.7200, Error: 2.2361, Degree: 0
Source: -1.4400, -0.8000, Error: 2.2361, Degree: 0
Source: -1.4400, -0.8400, Error: 2.2361, Degree: 0
Source: -1.4400, -0.9200, Error: 2.2361, Degree: 0
Source: -1.6000, -0.9200, Error: 2.2361, Degree: 0
Source: -1.6800, -1.0000, Error: 2.2361, Degree: 0
Source: -1.8400, -1.0400, Error: 2.2361, Degree: 0
Source: -1.8400, -1.0800, Error: 2.2361, Degree: 0
Source: -1.9200, -1.0800, Error: 2.2361, Degree: 0
Source: -1.9200, -1.1600, Error: 2.2361, Degree: 0
Source: -2.0000, -1.2400, Error: 2.2361, Degree: 0
Source: -2.1600, -1.2800, Error: 2.2361, Degree: 0
Source: -2.3200, -1.2800, Error: 2.2361, Degree: 0
Source: -2.3200, -1.3200, Error: 2.2361, Degree: 0
Source: -2.4800, -1.4000, Error: 2.2361, Degree: 0
Source: -2.5600, -1.4800, Error: 2.2361, Degree: 0
Source: -2.7200, -1.5200, Error: 2.2361, Degree: 0
Source: -2.8000, -1.5200, Error: 2.2361, Degree: 0
Source: -2.8800, -1.6000, Error: 2.2361, Degree: 0
Source: -3.0400, -1.6400, Error: 2.2361, Degree: 0
Source: -3.1200, -1.7200, Error: 2.2361, Degree: 0
Source: -3.2800, -1.7200, Error: 2.2361, Degree: 0
Source: -3.3600, -1.7200, Error: 2.2361, Degree: 0
Source: -3.5200, -1.8000, Error: 2.2361, Degree: 0
Source: -3.6800, -1.8400, Error: 2.2361, Degree: 0
Source: -3.8400, -1.8400, Error: 2.2361, Degree: 0
Source: -4.0000, -1.9200, Error: 2.2361, Degree: 0
Source: -4.0800, -1.9200, Error: 2.2361, Degree: 0
Source: -4.2400, -1.9600, Error: 2.2361, Degree: 0
Source: -4.4000, -1.9600, Error: 2.2361, Degree: 0
Source: -4.4800, -2.0400, Error: 2.2361, Degree: 0
Source: -4.6400, -2.0800, Error: 2.2361, Degree: 0
Source: -4.8000, -2.1600, Error: 2.2361, Degree: 0
Source: -4.8800, -2.1600, Error: 2.2361, Degree: 0
Source: -4.9600, -2.1600, Error: 2.2361, Degree: 0
Source: -5.1200, -2.2400, Error: 2.2361, Degree: 0
Source: -5.2000, -2.2400, Error: 2.2361, Degree: 0
Source: -5.3600, -2.2400, Error: 2.2361, Degree: 0
Source: -5.5200, -2.2400, Error: 2.2361, Degree: 0
Source: -5.6800, -2.3200, Error: 2.2361, Degree: 0
Source: -5.8400, -2.3200, Error: 2.2361, Degree: 0
Source: -6.0000, -2.4000, Error: 2.2361, Degree: 0
Source: -6.0800, -2.4000, Error: 2.2361, Degree: 0
Source: -6.2400, -2.4800, Error: 2.2361, Degree: 0
Source: -6.2400, -2.5200, Error: 2.2361, Degree: 0
Source: -6.3200, -2.6000, Error: 2.2361, Degree: 0
Source: -6.4800, -2.6400, Error: 2.2361, Degree: 0
Source: -6.5600, -2.6400, Error: 2.2361, Degree: 0
Source: -6.6400, -2.6400, Error: 2.2361, Degree: 0
Source: -6.6400, -2.7200, Error: 2.2361, Degree: 0
Source: -6.6400, -2.8000, Error: 2.2361, Degree: 0
Source: -6.7200, -2.8000, Error: 2.2361, Degree: 0
Source: -6.8800, -2.8000, Error: 2.2361, Degree: 0
Source: -7.0400, -2.8800, Error: 2.2361, Degree: 0
Source: -7.0400, -2.9200, Error: 2.2361, Degree: 0
Source: -7.2000, -2.9200, Error: 2.2361, Degree: 0
Source: -7.3600, -2.9600, Error: 2.2361, Degree: 0
Source: -7.4400, -3.0400, Error: 2.2361, Degree: 0
Source: -7.5200, -3.0400, Error: 2.2361, Degree: 0
Source: -7.6000, -3.0400, Error: 2.2361, Degree: 0
Source: -7.6800, -3.1200, Error: 2.2361, Degree: 0
Source: -7.6800, -3.2000, Error: 2.2361, Degree: 0
Source: -7.8400, -3.2400, Error: 2.2361, Degree: 0
Source: -7.9200, -3.3200, Error: 2.2361, Degree: 0
Source: -8.0800, -3.4000, Error: 2.2361, Degree: 0
Source: -8.1600, -3.4000, Error: 2.2361, Degree: 0
Source: -8.2400, -3.4000, Error: 2.2361, Degree: 0
Source: -8.2400, -3.4400, Error: 2.2361, Degree: 0
Source: -8.3200, -3.5200, Error: 2.2361, Degree: 0
Source: -8.4800, -3.5600, Error: 2.2361, Degree: 0
Source: -8.5600, -3.6400, Error: 2.2361, Degree: 0
Source: -8.6400, -3.7200, Error: 2.2361, Degree: 0
Source: -8.8000, -3.7600, Error: 2.2361, Degree: 0
Source: -8.8800, -3.7600, Error: 2.2361, Degree: 0
Source: -8.9600, -3.8400, Error: 2.2361, Degree: 0
Source: -9.0400, -3.9200, Error: 2.2361, Degree: 0
Source: -9.1200, -4.0000, Error: 2.2361, Degree: 0
Source: -9.2800, -4.0800, Error: 2.2361, Degree: 0
Source: -9.4400, -4.1600, Error: 2.2361, Degree: 0
Source: -9.5200, -4.2400, Error: 2.2361, Degree: 0
Source: -9.5200, -4.3200, Error: 2.2361, Degree: 0
Source: -9.5200, -4.3600, Error: 2.2361, Degree: 0
Source: -9.6800, -4.3600, Error: 2.2361, Degree: 0
Source: -9.8400, -4.4000, Error: 2.2361, Degree: 0
Source: -9.8400, -4.4400, Error: 2.2361, Degree: 0
Source: -10.0000, -4.4800, Error: 2.2361, Degree: 0
Source: -10.0000, -4.5600, Error: 2.2361, Degree: 0
Source: -10.0800, -4.5600, Error: 2.2361, Degree: 0
Source: -10.1600, -4.6400, Error: 2.2361, Degree: 0
Source: -10.2400, -4.7200, Error: 2.2361, Degree: 0
Source: -10.3200, -4.8000, Error: 2.2361, Degree: 0
Source: -10.4000, -4.8800, Error: 2.2361, Degree: 0
Source: -10.5600, -4.9600, Error: 2.2361, Degree: 0
Source: -10.7200, -4.9600, Error: 2.2361, Degree: 0
Source: -10.7200, -5.0400, Error: 2.2361, Degree: 0
Source: -10.8000, -5.0400, Error: 2.2361, Degree: 0
Source: -10.9600, -5.1200, Error: 2.2361, Degree: 0
Source: -11.0400, -5.2000, Error: 2.2361, Degree: 0
Source: -11.0400, -5.2400, Error: 2.2361, Degree: 0
Source: -11.2000, -5.2800, Error: 2.2361, Degree: 0
Source: -11.3600, -5.2800, Error: 2.2361, Degree: 0
Source: -11.4400, -5.3600, Error: 2.2361, Degree: 0
Source: -11.6000, -5.3600, Error: 2.2361, Degree: 0
Source: -11.7600, -5.4400, Error: 2.2361, Degree: 0
Source: -11.8400, -5.5200, Error: 2.2361, Degree: 0
Source: -11.8400, -5.5600, Error: 2.2361, Degree: 0
Source: -12.0000, -5.6400, Error: 2.2361, Degree: 0
Source: -12.1600, -5.6800, Error: 2.2361, Degree: 0
Source: -12.2400, -5.7600, Error: 2.2361, Degree: 0
Source: -12.3200, -5.7600, Error: 2.2361, Degree: 0
Source: -12.4000, -5.8400, Error: 2.2361, Degree: 0
Source: -12.4800, -5.9200, Error: 2.2361, Degree: 0
Source: -12.6400, -6.0000, Error: 2.2361, Degree: 0
Source: -12.7200, -6.0800, Error: 2.2361, Degree: 0
Source: -12.7200, -6.1600, Error: 2.2361, Degree: 0
Source: -12.8000, -6.1600, Error: 2.2361, Degree: 0
Source: -12.8800, -6.1600, Error: 2.2361, Degree: 0
Source: -13.0400, -6.2000, Error: 2.2361, Degree: 0
Source: -13.2000, -6.2000, Error: 2.2361, Degree: 0
Source: -13.3600, -6.2800, Error: 2.2361, Degree: 0
Source: -13.3600, -6.3600, Error: 2.2361, Degree: 0
Source: -13.5200, -6.4400, Error: 2.2361, Degree: 0
Source: -13.6800, -6.5200, Error: 2.2361, Degree: 0
Source: -13.8400, -6.5600, Error: 2.2361, Degree: 0
Source: -13.9200, -6.5600, Error: 2.2361, Degree: 0
Source: -14.0000, -6.5600, Error: 2.2361, Degree: 0
Source: -14.1600, -6.6400, Error: 2.2361, Degree: 0
Source: -14.2400, -6.7200, Error: 2.2361, Degree: 0
Source: -14.2400, -6.8000, Error: 2.2361, Degree: 0
Source: -14.2400, -6.8800, Error: 2.2361, Degree: 0
Source: -14.2400, -6.9200, Error: 2.2361, Degree: 0
Source: -14.4000, -6.9600, Error: 2.2361, Degree: 0
Source: -14.4000, -7.0400, Error: 2.2361, Degree: 0
Source: -14.5600, -7.1200, Error: 2.2361, Degree: 0
Source: -14.7200, -7.1200, Error: 2.2361, Degree: 0
Source: -14.8000, -7.2000, Error: 2.2311, Degree: 0
Source: -14.9600, -7.2000, Error: 2.1754, Degree: 0
Source: -15.0400, -7.2800, Error: 2.1498, Degree: 0
Source: -15.1200, -7.2800, Error: 2.1264, Degree: 0
Source: -15.2800, -7.3600, Error: 2.0849, Degree: 0
Source: -15.2800, -7.4000, Error: 2.0848, Degree: 0
Source: -15.4400, -7.4000, Error: 2.0516, Degree: 0
Source: -15.6000, -7.4400, Error: 2.0266, Degree: 0
Source: -15.6800, -7.5200, Error: 2.0172, Degree: 0
Source: -15.8400, -7.5600, Error: 2.0054, Degree: 0
Source: -16.0000, -7.5600, Error: 2.0025, Degree: 0
Source: -16.0800, -7.6400, Error: 2.0046, Degree: 0
Source: -16.0000, -7.6400, Error: 2.0026, Degree: 0
Source: -16.1600, -7.6400, Error: 2.0088, Degree: 0
Source: -16.0000, -7.6000, Error: 2.0026, Degree: 0
Source: -16.0800, -7.5600, Error: 2.0045, Degree: 0
Source: -16.1600, -7.5600, Error: 2.0086, Degree: 0
Source: -16.1600, -7.6000, Error: 2.0087, Degree: 0
Source: -16.4000, -4.6400, Error: 2.0451, Degree: 2
Source: -16.4800, -4.6400, Error: 2.0599, Degree: 2
Source: -16.5600, -4.7200, Error: 2.0755, Degree: 2
Source: -16.6400, -4.7200, Error: 2.0942, Degree: 2
Source: -16.7200, -4.8000, Error: 2.1134, Degree: 2
Source: -16.8000, -4.8800, Error: 2.1343, Degree: 2
Source: -16.9600, -4.9600, Error: 2.1827, Degree: 2
Source: -16.9600, -5.0000, Error: 2.1819, Degree: 2
Source: -17.1200, -5.0800, Error: 2.2361, Degree: 2
Source: -17.2800, -5.0800, Error: 2.2361, Degree: 2
Source: -17.4400, -5.1200, Error: 2.2361, Degree: 2
Source: -17.6000, -5.1200, Error: 2.2361, Degree: 2
Source: -17.7600, -5.1200, Error: 2.2361, Degree: 2
Source: -17.9200, -5.2000, Error: 2.2361, Degree: 2
Source: -18.0800, -5.2800, Error: 2.2361, Degree: 2
Source: -18.2400, -5.3600, Error: 2.2361, Degree: 2
Source: -18.2400, -5.4400, Error: 2.2361, Degree: 2
Source: -18.3200, -5.4400, Error: 2.2361, Degree: 2
Source: -18.4000, -5.5200, Error: 2.2361, Degree: 2
Source: -18.4800, -5.6000, Error: 2.2361, Degree: 2
Source: -18.6400, -5.6000, Error: 2.2361, Degree: 2
Source: -18.8000, -5.6800, Error: 2.2361, Degree: 2
Source: -18.9600, -5.7600, Error: 2.2361, Degree: 2
Source: -19.1200, -5.8000, Error: 2.2361, Degree: 2
Source: -19.2800, -5.8400, Error: 2.2361, Degree: 2
Source: -19.3600, -5.9200, Error: 2.2361, Degree: 2
Source: -19.5200, -5.9600, Error: 2.2361, Degree: 2
Source: -19.5200, -6.0000, Error: 2.2361, Degree: 2
Source: -19.5200, -6.0400, Error: 2.2361, Degree: 2
Source: -19.6800, -6.0400, Error: 2.2361, Degree: 2
Source: -19.8400, -6.0800, Error: 2.2361, Degree: 2
Source: -19.9200, -6.0800, Error: 2.2361, Degree: 2
Source: -20.0000, -6.1600, Error: 2.2361, Degree: 2
Source: -19.9200, -6.2400, Error: 2.2361, Degree: 2
Source: -20.0000, -6.3200, Error: 2.2361, Degree: 2
Source: -20.0000, -6.4000, Error: 2.2361, Degree: 2
Source: -19.9200, -6.4400, Error: 2.2361, Degree: 2
Source: -19.9200, -6.4800, Error: 2.2361, Degree: 2
Source: -20.0000, -6.4800, Error: 2.2361, Degree: 2
Source: -20.0000, -6.5600, Error: 2.2361, Degree: 2
Source: -19.9200, -6.5600, Error: 2.2361, Degree: 2
Source: -19.9200, -6.6400, Error: 2.2361, Degree: 2
Source: -19.9200, -6.7200, Error: 2.2361, Degree: 2
Source: -20.0000, -6.8000, Error: 2.2361, Degree: 2
Source: -20.0000, -6.8800, Error: 2.2361, Degree: 2
Source: -20.0000, -6.9600, Error: 2.2361, Degree: 2
Source: -20.0000, -7.0400, Error: 2.2361, Degree: 2
Source: -19.9200, -7.1200, Error: 2.2361, Degree: 2
Source: -19.9200, -7.2000, Error: 2.2361, Degree: 2
Source: -20.0000, -7.2000, Error: 2.2361, Degree: 2
Source: -19.9200, -7.2400, Error: 2.2361, Degree: 2
Source: -19.9200, -7.3200, Error: 2.2361, Degree: 2
Source: -20.0000, -7.3200, Error: 2.2361, Degree: 2
Source: -19.9200, -7.3600, Error: 2.2361, Degree: 2
Source: -19.9200, -7.4000, Error: 2.2361, Degree: 2
