x: -14.7067, y: 1.8595, theta: 66.12
Source: -11.9038, 8.7575, Error: 4.0031, Degree: 2
Source: -11.8236, 8.7976, Error: 4.0018, Degree: 2
Source: -11.7435, 8.7976, Error: 4.0008, Degree: 2
Source: -11.7435, 8.8377, Error: 4.0010, Degree: 2
Source: -11.7435, 8.7174, Error: 4.0006, Degree: 2
Source: -11.7435, 8.7575, Error: 4.0006, Degree: 2
Source: -11.7435, 8.6774, Error: 4.0006, Degree: 2
Source: -11.6633, 8.6774, Error: 4.0011, Degree: 2
Source: -11.6633, 8.7575, Error: 4.0007, Degree: 2
Source: -11.6633, 8.7976, Error: 4.0006, Degree: 2
Source: -11.5832, 8.8377, Error: 4.0010, Degree: 2
Source: -11.5030, 8.8778, Error: 4.0017, Degree: 2
Source: -11.4228, 8.8377, Error: 4.0042, Degree: 2
Source: -11.3427, 8.7976, Error: 4.0081, Degree: 2
Source: -11.3427, 8.8377, Error: 4.0071, Degree: 2
Source: -11.4228, 8.7575, Error: 4.0058, Degree: 2
Source: -11.4228, 8.7174, Error: 4.0068, Degree: 2
Source: -11.3427, 8.7575, Error: 4.0092, Degree: 2
Source: -11.3427, 8.7174, Error: 4.0104, Degree: 2
Source: -11.2625, 8.7575, Error: 4.0134, Degree: 2
Source: -11.2625, 8.7976, Error: 4.0121, Degree: 2
Source: -11.1824, 8.7174, Error: 4.0201, Degree: 2
Source: -11.1022, 8.6774, Error: 4.0281, Degree: 2
Source: -11.1022, 8.6373, Error: 4.0301, Degree: 2
Source: -11.1824, 8.5972, Error: 4.0254, Degree: 2
Source: -11.2625, 8.5571, Error: 4.0211, Degree: 2
Source: -11.3427, 8.5972, Error: 4.0143, Degree: 2
Source: -11.3427, 8.6373, Error: 4.0129, Degree: 2
Source: -11.2625, 8.5972, Error: 4.0194, Degree: 2
Source: -11.4228, 8.5972, Error: 4.0099, Degree: 2
Source: -11.5030, 8.5571, Error: 4.0073, Degree: 2
Source: -11.5030, 8.5972, Error: 4.0064, Degree: 2
Source: -11.5832, 8.6373, Error: 4.0030, Degree: 2
Source: -11.6633, 8.7174, Error: 4.0009, Degree: 2
Source: -11.5832, 8.7174, Error: 4.0020, Degree: 2
Source: -11.5030, 8.7174, Error: 4.0040, Degree: 2
Source: -11.5832, 8.6774, Error: 4.0025, Degree: 2
Source: -11.6633, 8.6373, Error: 4.0014, Degree: 2
Source: -11.6633, 8.5972, Error: 4.0018, Degree: 2
Source: -11.7435, 8.5571, Error: 4.0010, Degree: 2
Source: -11.6633, 8.5170, Error: 4.0028, Degree: 2
Source: -11.7435, 8.5170, Error: 4.0013, Degree: 2
Source: -11.8236, 8.5170, Error: 4.0006, Degree: 2
Source: -11.8236, 8.5571, Error: 4.0005, Degree: 2
Source: -11.9038, 8.5972, Error: 4.0012, Degree: 2
Source: -11.9038, 8.6373, Error: 4.0016, Degree: 2
Source: -11.9840, 8.5972, Error: 4.0027, Degree: 2
